source_code_description,concept_name
" Tuberculosis of genitourinary system, unspecified ",Tuberculosis of genitourinary system
Tuberculous peripheral lymphadenopathy,Tuberculosis of peripheral lymph nodes
" Tuberculosis of intestines, peritoneum and mesenteric glands "," Tuberculosis of intestines, peritoneum and mesenteric glands "
Tuberculous peritonitis K67.3 ," Tuberculosis of intestines, peritoneum and mesenteric glands "
Retroperitoneal tuberculosis K93.0 ," Tuberculosis of intestines, peritoneum and mesenteric glands "
Tuberculosis of adrenal glands E35.1 ,Tuberculosis of adrenal glands
Tuberculosis of other specified organs,Tuberculosis
Tuberculosis of other endocrine glands E35.8 ,Tuberculosis
Tuberculosis of spleen D77 ,Tuberculosis
Acute miliary tuberculosis of a single specified site,Acute miliary tuberculosis
" Acute miliary tuberculosis, unspecified ",Disseminated tuberculosis
" Miliary tuberculosis, unspecified ",Miliary tuberculosis
Cellulocutaneous plague,Cellulocutaneous plague
Plague meningitis,Plague meningitis
Septicemic plague,Septicemic plague
Tularaemia,Tularemia
Ulceroglandular tularemia,Ulceroglandular tularemia
Anthrax,Anthrax
Cutaneous anthrax,Cutaneous anthrax
Anthrax sepsis,Sepsis due to Bacillus anthracis
Other forms of anthrax,Anthrax manifestation
" Anthrax, unspecified ",Anthrax
Brucellosis due to Brucella melitensis,Infection due to Brucella melitensis
Brucellosis due to Brucella canis,Infection due to Brucella canis
Other brucellosis,Brucellosis
" Brucellosis, unspecified ",Brucellosis
Glanders and Melioidosis,Melioidosis
Acute and fulminating melioidosis,Acute and fulminating melioidosis
Other melioidosis,Melioidosis
Rat-bite fevers,Rat bite fever
Spirillosis,Spirillary fever
Streptobacillosis,Streptobacillary fever
" Rat-bite fever, unspecified ",Rat bite fever
Cutaneous erysipeloid,Cutaneous erysipeloid
Erysipelothrix sepsis,Sepsis due to Erysipelothrix
Other forms of erysipeloid,Erysipelothrix
" Erysipeloid, unspecified ",Infection due to Erysipelothrix rhusiopathiae
Leptospirosis icterohemorrhagica,Leptospirosis icterohemorrhagica
" Leptosprirosis, unspecified ",Leptospirosis
" Other zoonotic bacterial diseases, NEC ",Bacterial infectious disease
Pasteurellosis,Pasteurella infection
Extraintestinal yersiniosis,Extraintestinal yersiniosis
" Other specified zoonotic bacterial diseases, NEC ",Bacterial infectious disease
" Zoonotic bacterial disease, unspecified ",Bacterial infectious disease
Indeterminate leprosy,Indeterminate leprosy
Borderline tuberculoid leprosy,Borderline tuberculoid leprosy
Borderline leprosy,Borderline leprosy
Lepromatous leprosy,Lepromatous leprosy
" Leprosy, unspecified ",Leprosy
Cutaneous mycobacterial infection,Cutaneous infectious disease due to Mycobacteria
Obstetrical tetanus,Obstetrical tetanus
Other tetanus,Tetanus
Diphtheria,Diphtheria
Pharyngeal diphtheria,Faucial diphtheria
Whooping cough due to Bordetella pertussis,Pertussis
Waterhouse-Friderichsen syndrome E35.1 ,Waterhouse-Friderichsen syndrome
Chronic meningococcemia,Chronic meningococcemia
" Meningococcemia, unspecified ",Meningococcemia
Meningococcal heart disease,Meningococcal carditis
" Meningococcal infection, unspecified ",Meningococcal infectious disease
Streptococcal sepsis,Sepsis due to Streptococcus
" Sepsis due to streptococcus, group D ",Sepsis due to Streptococcus group D
Sepsis due to Streptococcus pneumoniae,Sepsis due to Streptococcus pneumoniae
Other sepsis,Sepsis
Sepsis due to unspecified staphylococcus,Sepsis due to Staphylococcus
Sepsis due to Haemophilus influenzae,Sepsis due to Haemophilus influenzae
Sepsis due to Pseudomonas,Sepsis due to Gram negative bacteria
" Sepsis, unspecified ",Sepsis
Actinomycosis,Actinomycotic infection
Pulmonary actinomycosis,Pulmonary actinomycosis
Cervicofacial actinomycosis,Cervicofacial actinomycosis
Actinomycotic sepsis,Sepsis due to Actinomyces
Pulmonary nocardiosis,Pulmonary nocardiosis
Cutaneous nocardiosis,Cutaneous nocardiosis
Bartonellosis,Bartonellosis
Cutaneous and mucocutaneous bartonellosis,Cutaneous and mucocutaneous bartonellosis
Other forms of bartonellosis,Bartonellosis
Erysipelas,Infection due to Erysipelothrix rhusiopathiae
Gas gangrene,Gas gangrene
Nonpneumonic Legionnaires disease Pontiac fever ,Pontiac fever
Brazilian purpuric fever,Brazilian purpuric fever
Other specified bacterial diseases,Bacterial infectious disease
" Streptococcal infection, unspecified site ",Streptococcal infectious disease
" Haemophilus influenzae infection, unspecified site ",Haemophilus influenzae infection
Other bacterial infections of unspecified site,Bacterial infectious disease
Late congenital neurosyphilis juvenile neurosy-philis ,Late congenital neurosyphilis
" Other late congenital syphilis, symptomatic ",Late congenital syphilis
" Late congenital syphilis, latent "," Late congenital syphilis, latent "
" Late congenital syphilis, unspecified ",Late congenital neurosyphilis
" Congenital syphilis, unspecified ",Congenital syphilis
Early syphilis," Early latent syphilis, positive serology, negative cerebrospinal fluid, less than 2 years after infection "
Primary anal syphilis,Primary anal syphilis
Primary syphilis of other sites,Primary syphilis
Secondary syphilis of skin and mucous membranes,Secondary syphilis of mucous membrane
" Early syphilis, latent "," Early latent syphilis, positive serology, negative cerebrospinal fluid, less than 2 years after infection "
" Early syphilis, unspecified "," Early latent syphilis, positive serology, negative cerebrospinal fluid, less than 2 years after infection "
Late syphilis,Late syphilis
Asymptomatic neurosyphilis,Asymptomatic neurosyphilis
" Neurosyphilis, unspecified ",Neurosyphilis
" Late syphilis, latent ",Late latent syphilis
" Late syphilis, unspecified ",Late syphilis
" Latent syphilis, unspecified as early or late ",Latent syphilis
Gonococcal infection of lower genitourinary tract without periurethral or accessory gland abscess,Acute gonorrhea of lower genitourinary tract
Gonococcal infection of eye,Gonococcal infection of eye
Gonococcal infection of musculoskeletal system,Gonococcal bursitis
Gonococcal pharyngitis,Gonorrhea of pharynx
" Chlamydial infection of genitourinary tract, unspecified ",Genitourinary chlamydia infection
Chlamydial infection of anus and rectum,Chlamydial infection of anus and rectum
Chlamydial infection of pharynx,Chlamydial pharyngitis
Chancroid,Chancroid
Granuloma inguinale,Granuloma inguinale
Herpesviral infection of penis,Genital herpes simplex
Herpesviral infection of other male genital organs,Genital herpes simplex
Herpesviral cervicitis,Genital herpes simplex
Herpesviral infection of perianal skin and rectum,Herpesviral infection of perianal skin and rectum
Trichomoniasis,Infection by Trichomonas
Anogenital venereal warts,Condyloma acuminatum
Urogenital trichomoniasis,Urogenital infection by Trichomonas vaginalis
Trichomonal vulvovaginitis,Urogenital infection by Trichomonas vaginalis
Trichomonal cystitis and urethritis,Urogenital infection by Trichomonas vaginalis
Other and unspecified urogenital trichomoniasis,Urogenital infection by Trichomonas vaginalis
Trichomoniasis of other sites,Infection by Trichomonas
Anogenital herpesviral herpes simplex infection,Anogenital herpesviral infection
Gummata and ulcers of yaws,Nodular late yaws
Initial lesions of yaws,Initial lesion of yaws
Bone and joint lesions of yaws,Bone and or joint yaws lesions
Other early skin lesions of yaws,Early yaws skin lesion
Other manifestations of yaws,Yaws
Latent yaws,Latent yaws
Pinta carate ,Pinta
Intermediate lesions of pinta,Intermediate lesion of pinta
Other Vincent s infections,Vincent s angina
Other specified spirochetal infections,Spirochetal infection
" Spirochetal infection, unspecified ",Spirochetal infection
Chlamydia psittaci infection,Chlamydophila psittaci infection
Louse-borne relapsing fever,Louse-borne relapsing fever
Trachoma,Trachoma
" Trachoma, unspecified ",Trachoma
Other spirochaetal infections,Spirochetal infection
Necrotizing ulcerative stomatitis,Vincent s angina
Spotted fever tick-borne rickettsioses ,Spotted fevers
Recrudescent typhus Brill s disease ,Brill-Zinsser disease
Spotted fever due to Rickettsia rickettsii,Spotted fevers
Other specified rickettsioses,Disease caused by rickettsiae
Spotted fever due to Rickettsia australis,Queensland tick typhus
Acute poliomyelitis,Acute poliomyelitis
" Acute paralytic poliomyelitis, wild virus, imported "," Acute paralytic poliomyelitis, wild virus, imported "
Q fever,Q fever
" Acute paralytic poliomyelitis, other and unspecified ",Acute poliomyelitis with paralysis except bulbar
Acute nonparalytic poliomyelitis,Acute nonparalytic poliomyelitis
Sylvatic rabies,Rabies
" Acute poliomyelitis, unspecified ",Acute poliomyelitis
Atypical virus infections of central nervous system,Slow viral central nervous system infection
Urban rabies,Rabies
Creutzfeldt-Jakob disease,Creutzfeldt-Jakob disease
" Rabies, unspecified ",Rabies
Subacute sclerosing panencephalitis,Subacute sclerosing panencephalitis
Other atypical virus infections of central nervous system,Slow viral central nervous system infection
Japanese encephalitis,Japanese encephalitis virus disease
Australian encephalitis,Murray valley encephalitis
Rocio virus disease,Rocio virus disease
St. Louis encephalitis,St. Louis encephalitis virus infection
Tick-borne viral encephalitis,Viral encephalitis
Far Eastern tick-borne encephalitis Russian spring-summer encephalitis ,Viral encephalitis
Central European tick-borne encephalitis,Encephalitis due to European subtype of tick-borne encephalitis virus
" Other viral encephalitis, NEC ",Viral encephalitis
Adenoviral meningitis G02.0 ,Adenoviral meningitis
Enteroviral encephalitis G05.1 ,Enteroviral encephalitis
Lymphocytic choriomeningitis,Lymphocytic choriomeningitis
Other viral meningitis,Viral meningitis
" Viral meningitis, unspecified ",Viral meningitis
" Other viral infections of central nervous system, NEC ",Viral infection of central nervous system
" Arthropod-borne viral encephalitis, unspecified ",Viral encephalitis
Other specified viral infections of central nervous system,Viral infection of central nervous system
Other specified viral encephalitis,Viral infection of central nervous system
Unspecified viral encephalitis,Viral encephalitis
Other mosquito-borne viral fevers,Arbovirus infection
Viral meningitis,Viral meningitis
Chikungunya viral disease,Chikungunya fever
O nyong-nyong fever,O nyong-nyong fever
" Mosquito-borne viral fever, unspecified ",Arbovirus infection
Oropouche virus disease,Oropouche virus disease
Urban yellow fever,Urban yellow fever
Sandfly fever,Sandfly-borne phleboviral disease
Colorado tick fever,Colorado tick fever
JUNIN HAEMORRHAGIC FEVER,Argentinian hemorrhagic fever
Other specified arthropod-borne viral fevers,Arbovirus infection
OTHER ARENAVIRAL HAEMORRHAGIC FEVER,Arenaviral hemorrhagic fever
" ARENAVIRAL HAEMORRHAGIC FEVER, UNSPECIFIED ",Arenaviral hemorrhagic fever
" OTHER VIRAL HAEMORRHAGIC FEVERS, NEC ",Viral hemorrhagic fever
Sylvatic yellow fever,Jungle yellow fever
CRIMEAN-CONGO HAEMORRHAGIC FEVER,Congo-Crimean hemorrhagic fever
OMSK HAEMORRHAGIC FEVER,Omsk hemorrhagic fever
Eczema herpeticum,Eczema herpeticum
Kyasanur forest disease,Kyasanur forest disease
Herpesviral meningitis G02.0 ,Herpes simplex meningitis
Herpesviral encephalitis G05.1 ,Encephalitis due to Herpesviridae
HAEMORRHAGIC FEVER WITH RENAL SYNDROME,Hemorrhagic nephroso-nephritis
Varicella encephalitis G05.1 ,Postvaricella encephalitis
Other forms of herpesviral infection,Herpes simplex with complication
Varicella pneumonia J17.1 ,Chickenpox pneumonia
Herpesviral hepatitis K77.0 ,Herpes simplex with complication
Varicella with other complications,Chickenpox with complication
Zoster with other nervous system involvement,Herpes zoster with nervous system complication
Monkeypox,Human monkeypox
Measles complicated by encephalitis G05.1 ,Post measles encephalitis
Measles complicated by meningitis G02.0 ,Measles complicated by meningitis
Measles complicated by pneumonia J17.1 ,Post measles pneumonia
Measles complicated by otitis media H67.1 ,Post measles otitis media
Measles with other complications,Measles with complication
Measles without complication,Measles without complication
Viral warts,Verruca vulgaris
Other orthopoxvirus infections,Disease due to Orthopoxvirus
Molluscum contagiosum,Molluscum contagiosum infection
Exanthema subitum sixth disease ,Exanthema subitum
Erythema infectiosum fifth disease ,Erythema infectiosum
Enteroviral vesicular stomatitis with exanthem,Enteroviral vesicular stomatitis with exanthem
Enteroviral vesicular pharyngitis,Herpangina
Other specified viral infections characterized by skin and mucous membrane lesions,Viral exanthem
Acute hepatitis A,Acute type A viral hepatitis
Hepatitis A with hepatic coma,Hepatic coma due to viral hepatitis A
Acute hepatitis B with delta-agent coinfection with hepatic coma,Acute hepatitis B with delta agent coinfection with hepatic coma
Acute hepatitis B without delta-agent and with hepatic coma,Hepatic coma due to viral hepatitis B
Other acute viral hepatitis,Acute viral hepatitis
Acute hepatitis C,Acute hepatitis C
Acute hepatitis E,Acute hepatitis E
Other specified acute viral hepatitis,Viral hepatitis without hepatic coma
" Acute viral hepatitis, unspecified ",Acute viral hepatitis
Other chronic viral hepatitis,Viral hepatitis without hepatic coma
" Chronic viral hepatitis, unspecified ",Chronic viral hepatitis
Unspecified viral hepatitis,Viral hepatitis without hepatic coma
Unspecified viral hepatitis with hepatic coma,Hepatic coma due to viral hepatitis
HIV disease resulting in other viral infections,Infectious disease associated with acquired immune deficiency syndrome
HIV disease resulting in Pneumocystis jirovecii pneumonia,Pneumocystosis associated with AIDS
HIV disease resulting in other infectious and parasitic diseases,Infectious disease associated with acquired immune deficiency syndrome
HIV disease resulting in unspecified infectious or parasitic disease,Infectious disease associated with acquired immune deficiency syndrome
HIV disease resulting in unspecified malignant neoplasms,Malignant neoplasm associated with AIDS
HIV disease resulting in encephalopathy,Encephalopathy associated with AIDS
Human immunodeficiency virus HIV disease resulting in other conditions,Symptomatic human immunodeficiency virus infection
Acute HIV infection syndrome,Acute HIV infection
" HIV disease resulting in hematological and immunological abnormalities, NEC ",AIDS-associated disorder
Cytomegaloviral disease,Cytomegalovirus infection
Other cytomegaloviral diseases,Cytomegalovirus infection
Mumps meningitis G02.0 ,Mumps meningitis
Mumps encephalitis G05.1 ,Mumps encephalitis
Mumps without complication,Mumps without complication
Gammaherpesviral mononucleosis,Gammaherpesviral mononucleosis
Viral conjunctivitis,Viral conjunctivitis
Keratoconjunctivitis due to adenovirus H19.2 ,Keratoconjunctivitis due to adenovirus
Conjunctivitis due to adenovirus H13.1 ,Conjunctivitis due to adenovirus
Acute epidemic hemorrhagic conjunctivitis enteroviral H13.1 ,Epidemic hemorrhagic conjunctivitis
Other viral conjunctivitis H13.1 ,Viral conjunctivitis
" Viral conjunctivitis, unspecified ",Viral conjunctivitis
" Other viral diseases, NEC ",Viral disease
Ross River disease,Ross river fever
" Retrovirus infections, NEC ",Disease due to Retroviridae
Hantavirus cardio -pulmonary syndrome HPS HCPS J17.1 ,Disease due to Hantavirus
Zygomycosis,Zygomycosis
Pulmonary mucormycosis,Pulmonary mucormycosis
Gastrointestinal mucormycosis,Gastrointestinal mucormycosis
" Mucormycosis, unspecified ",Mucormycosis
Other zygomycoses,Zygomycosis
" Enterovirus infection, unspecified site ",Disease due to Enterovirus
" Coronavirus infection, unspecified site ",Coronavirus infection
Other viral infections of unspecified site,Specific viral infections
Dermatophytosis,Dermatophytosis
Tinea barbae and tinea capitis,Dermatophytosis of scalp or beard
Tinea corporis,Tinea corporis
Tinea imbricata,Tinea imbricata
Other dermatophytosis,Dermatophytosis
" Dermatophytosis, unspecified ",Dermatophytosis
Other superficial mycoses,Superficial mycosis
Pityriasis versicolor,Pityriasis versicolor
White piedra,White piedra
Candidiasis,Candidiasis
Candidal stomatitis,Candidiasis of mouth
Candidiasis of skin and nail,Candidiasis of skin and nails
Candidiasis of other urogenital sites,Candidiasis of urogenital site
Other urogenital candidiasis,Candidiasis of urogenital site
Candidal esophagitis,Candidiasis
Candidal enteritis,Candidiasis
Other sites of candidiasis,Candidiasis
Coccidioidomycosis,Coccidioidomycosis
Acute pulmonary coccidioidomycosis,Acute pulmonary coccidioidomycosis
Chronic pulmonary coccidioidomycosis,Chronic pulmonary coccidioidomycosis
Cutaneous coccidioidomycosis,Cutaneous coccidioidomycosis
Coccidioidomycosis meningitis G02.1 ,Coccidioidal meningitis
" Coccidioidomycosis, unspecified ",Coccidioidomycosis
Chronic pulmonary histoplasmosis capsulati,Chronic pulmonary histoplasmosis
" Histoplasmosis capsulati, unspecified ",Infection by Histoplasma capsulatum
" Histoplasmosis, unspecified ",Histoplasmosis
Acute pulmonary blastomycosis,Acute pulmonary blastomycosis
Chronic pulmonary blastomycosis,Chronic pulmonary blastomycosis
Cutaneous blastomycosis,Cutaneous blastomycosis
Paracoccidioidomycosis,Paracoccidioidomycosis
Disseminated paracoccidioidomycosis,Disseminated paracoccidioidomycosis
Other forms of paracoccidioidomycosis,Paracoccidioidomycosis
" Paracoccidioidomycosis, unspecified ",Paracoccidioidomycosis
Sporotrichosis,Sporotrichosis
Lymphocutaneous sporotrichosis,Lymphocutaneous sporotrichosis
Disseminated sporotrichosis,Disseminated sporotrichosis
Other forms of sporotrichosis,Sporotrichosis
Pheomycotic brain abscess,Pheohyphomycotic brain abscess
Invasive pulmonary aspergillosis,Invasive pulmonary aspergillosis
Tonsillar aspergillosis,Tonsillar aspergillosis
Other forms of aspergillosis,Aspergillosis
" Aspergillosis, unspecified ",Aspergillosis
Varicella keratitis,Chickenpox with complication
Other varicella complications,Chickenpox with complication
Varicella without complication,Varicella
Zoster meningitis G02.0 ,Herpes zoster with meningitis
Mycetoma,Mycetoma of foot
Eumycetoma,Eumycotic mycetoma
Rhinosporidiosis,Rhinosporidiosis
Penicillosis,Penicillosis
Plasmodium falciparum malaria with cerebral complications,Plasmodium falciparum malaria with cerebral complications
Other severe and complicated Plasmodium falciparum malaria,Falciparum malaria
" Plasmodium falciparum malaria, unspecified ",Falciparum malaria
Plasmodium vivax malaria with rupture of spleen,Plasmodium vivax malaria with rupture of spleen
Plasmodium vivax malaria without complication,Vivax malaria
Plasmodium malariae malaria,Quartan malaria
Leishmaniasis,Leishmaniasis
Cutaneous leishmaniasis,Cutaneous leishmaniasis
African trypanosomiasis,African trypanosomiasis
Chagas disease,Infection by Trypanosoma cruzi
Chagas s disease chronic with digestive system involvement,Chagas disease with digestive system involvement
Chagas s disease chronic with nervous system involvement,Chagas disease with nervous system involvement
Chagas s disease chronic with other organ involvement,Chagas disease with other organ involvement
Toxoplasmosis,Toxoplasmosis
Toxoplasma hepatitis K77.0 ,Toxoplasma hepatitis
Toxoplasma meningoencephalitis G05.2 ,Toxoplasma encephalitis
Pulmonary toxoplasmosis J17.3 ,Toxoplasma pneumonitis
Acanthamebiasis,Infection by Acanthamoeba
Other specified protozoal diseases,Disorder due to infection
Schistosomiasis due to Schistosoma hematobium urinary schistosomiasis ,Urinary schistosomiasis
Schistosomiasis due to Schistosoma japonicum,Schistosoma japonicum infection
Opisthorchiasis,Opisthorchiasis
Fascioliasis,Infection by Fasciola
Intestinal flukes,Infection by Fasciolopsis buski
" Fluke infection, unspecified ",Trematode infection
Echinococcosis,Echinococcosis
Echinococcus granulosus infection of lung,Echinococcus granulosus infection of lung
" Echinococcus granulosus infection, unspecified ",Echinococcus granulosus infection
Echinococcus multilocularis infection of liver,Echinococcus multilocularis infection of liver
" Echinococcus,unspecified,of liver ",Echinococcosis of liver
" Echinococcus,other and unspecified ",Echinococcosis
Taeniasis,Infection by Taenia
Taenia saginata taeniasis,Taenia saginata infection
" Taeniasis, unspecified ",Infection by Taenia
Cysticercosis of central nervous system,Cysticercosis of central nervous system
Diphyllobothriasis and sparganosis,Infection by Spirometra larvae
Diphyllobothriasis,Diphyllobothriasis
Sparganosis,Infection by Spirometra larvae
Dipylidiasis,Infection by Dipylidium caninum
Filariasis,Disease due to superfamily Filarioidea
Filariasis due to Wuchereria bancrofti,Infection by Wuchereria bancrofti
Filariasis due to Brugia malayi,Infection by Brugia malayi
Loiasis,Infection by Loa loa
Other filariases,Disease due to superfamily Filarioidea
Hookworm disease,Disease due to superfamily Ancylostomatoidea
Ancylostomiasis,Infection by Uncinaria
Necatoriasis,Necatoriasis
" Hookworm disease, unspecified ",Disease due to superfamily Ancylostomatoidea
Ascariasis with intestinal complications,Ascariasis with intestinal complications
Ascariasis with other complications,Ascariasis
" Ascariasis, unspecified ",Ascariasis
Disseminated strongyloidiasis,Disseminated strongyloidiasis
Trichuriasis,Trichuriasis
Trichostrongyliasis,Trichostrongyliasis
Intestinal angiostrongyliasis,Intestinal angiostrongyliasis
Mixed intestinal helminthiases,Mixed intestinal helminthiasis
Other specified intestinal helminthiases,Helminth infection
" Intestinal parasitism, unspecified ",Intestinal parasitism
Gnathostomiasis,Infection by Gnathostoma
Angiostrongyliasis due to Parastrongylus cantonensis,Helminth infection
Internal hirudiniasis,Internal hirudiniasis
Pediculosis due to pediculus humanus capitis,Pediculosis capitis
" Pediculosis,unspecified ",Infestation by Pediculus
Nasopharyngeal myiasis,Nasopharyngeal myiasis
Aural myiasis,Aural myiasis
Other acariasis,Acariasis
Sequelae of tuberculosis,Sequelae of tuberculosis
Tungiasis sandflea infestation ,Tunga penetrans infestation
Sequelae of tuberculosis of bones and joints,Late effects of tuberculosis of bones and or joints
Sequelae of tuberculosis of other organs,Tuberculosis
Other arthropod infestations,Disease due to Arthropod
Sequelae of poliomyelitis,Late effects of poliomyelitis
Sequelae of viral encephalitis,Late effects of viral encephalitis
Sequelae of viral hepatitis,Sequelae of viral hepatitis
" INFESTATION, UNSPECIFIED ",Infestation by insect
" Streptococcus,group A, as the cause of diseases classified to other chapters ",Streptococcus pyogenes infection
Unspecified parasitic disease,Disorder due to infection
" Streptococcus,group B, as the cause of diseases classified to other chapters ",Streptococcus agalactiae infection
Other staphylococcus as the cause of diseases classified to other chapters,Staphylococcal infectious disease
" Streptococcus,group D, as the cause of diseases classified to other chapters ",Infection due to Streptococcus group D
Streptococcus pneumoniae as the cause of diseases classified to other chapters,Pneumococcal infectious disease
Unspecified staphylococcus as the cause of diseases classified to other chapters,Staphylococcal infectious disease
Staphylococcus aureus as the cause of diseases classified to other chapters,Staphylococcal infectious disease
Clostridium perfringens C.perfringens as the cause of diseases classified to other chapters,Infection due to Clostridium perfringens
Escherichia coli E.coli as the cause of diseases classified to other chapters,Infection due to Escherichia coli
Adenovirus as the cause of diseases classified to other chapters,Disease due to Adenovirus
Coronavirus as the cause of diseases classified to other chapters,Specific viral infections
Haemophilus influenzae H.influenzae as the cause of diseases classified to other chapters,Haemophilus influenzae infection
Respiratory syncytial virus as the cause of diseases classified to other chapters,Respiratory syncytial virus infection
Proteus mirabilis morganii as the cause of diseases classified to other chapters,Proteus infection
Parvovirus as the cause of diseases classified to other chapters,Specific viral infections
Pseudomonas aeruginosa as the cause of diseases classified to other chapters,Bacterial infection due to Pseudomonas
Other viral agents as the cause of diseases classified to other chapters,Viral disease
Malignant neoplasm of external lower lip,Malignant tumor of vermilion border of lower lip
Other and unspecified infectious diseases,Disorder due to infection
Malignant neoplasm of base of tongue,Malignant tumor of base of tongue
Malignant neoplasm of other and unspecified parts of tongue,Malignant tumor of tongue
" Malignant neoplasm of lower lip, inner aspect ",Malignant tumor of lower labial mucosa
Malignant neoplasm of border of tongue,Malignant neoplasm of border of tongue
" Malignant neoplasm of lip, unspecified, inner aspect ",Malignant tumor of labial mucosa
Malignant neoplasm of commissure of lip,Primary malignant neoplasm of commissure of lip
Malignant neoplasm of lingual tonsil,Malignant tumor of lingual tonsil
Malignant neoplasm of overlapping lesion of lip,Overlapping malignant neoplasm of lip
" Malignant neoplasm of tongue, unspecified ",Malignant tumor of tongue
Malignant neoplasm of upper gum,Malignant tumor of upper gingiva
Malignant neoplasm of lower gum,Malignant tumor of lower gingiva
Malignant neoplasm of palate,Malignant tumor of palate
Malignant neoplasm of hard palate,Malignant tumor of hard palate
" Malignant neoplasm of floor of mouth, unspecified ",Malignant tumor of floor of mouth
Malignant neoplasm of retromolar area,Malignant tumor of retromolar area
Malignant neoplasm of overlapping lesion of palate,Primary malignant neoplasm of palate
