source_code_description,concept_name
" Respiratory tuberculosis unspecified, with cavitation, confirmed bacteriologically and histologically ",Pulmonary tuberculosis
" Respiratory tuberculosis, not confirmed bacteriologically or histologically "," Respiratory tuberculosis, not confirmed bacteriologically or histologically "
" Tuberculosis of lung, bacteriologically and histologically negative "," Tuberculosis of lung, bacteriologically and histologically negative "
" Tuberculosis of lung, bacteriological and histological examination not done "," Tuberculosis of lung, bacteriological and histological examination not done "
" Tuberculous of lung with cavitation, bacteriological and histological examination not done "," Tuberculosis of lung, bacteriological and histological examination not done "
" Tuberculosis of lung, without mention of bacteriological or histological confirmation ",Pulmonary tuberculosis
" Tuberculosis of lung with cavitation, without mention of bacteriological or histological confirmation ",Pulmonary tuberculosis
" Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation ",Tuberculosis of bronchus
Primary respiratory tuberculosis without mention of bacteriological or histological confirmation," Respiratory tuberculosis, not confirmed bacteriologically or histologically "
" Other respiratory tuberculosis, without mention of bacteriological or histological confirmation "," Respiratory tuberculosis, not confirmed bacteriologically or histologically "
Tuberculosis meningitis G01 ,Tuberculosis of meninges
Tuberculous neuritis G59.8 ,Tuberculosis of central nervous system
" Tuberculosis of nervous system, unspecified G99.8 ",Tuberculosis
Tuberculous of bones and joints,Tuberculosis of bones and or joints
Tuberculous of other bones and joints,Tuberculosis of bones and or joints
Tuberculosis of genitourinary system,Tuberculosis of genitourinary system
Tuberculosis of bladder N33.0 ,Tuberculosis of genitourinary system
Tuberculosis of prostate N51.0 ,Tuberculosis of genitourinary system
Tuberculosis of other male genital organs N51.- ,Tuberculosis of genitourinary system
Tuberculosis of cervix N74.0 ,Tuberculosis of genitourinary system
Tuberculous female pelvic inflammatory N74.1 ,Tuberculosis of genitourinary system
Tuberculosis of other female genital organs,Tuberculosis of genitourinary system
Tuberculous enteritis K93.0 ," Tuberculosis of intestines, peritoneum and mesenteric glands "
Tuberculosis of skin and subcutaneous tissue,Tuberculosis of skin and subcutaneous tissue
Tuberculosis of eye,Tuberculosis of eye
Tuberculosis of ear,Tuberculosis of ear
Tuberculosis of thyroid gland E35.0 ,Tuberculosis
" Tuberculosis of digestive tract organs, not elsewhere classified ",Tuberculosis
Tuberculosis of heart,Tuberculosis
Tuberculosis of other sites,Tuberculosis
Miliary tuberculosis,Miliary tuberculosis
Acute miliary tuberculosis of multiple sites,Acute miliary tuberculosis of multiple sites
Other miliary tuberculosis,Miliary tuberculosis
Plague,Plague
Bubonic plague,Bubonic plague
Pneumonic plague,Pneumonic plague
Other forms of plague,Ambulatory plague
" Plague, unspecified ",Plague
Oculoglandular tularemia,Oculoglandular tularemia
Pulmonary tularemia,Pulmonary tularemia
Other forms of tularemia,Tularemia
" Tularemia, unspecified ",Tularemia
Pulmonary anthrax,Inhalational anthrax
Gastrointestinal anthrax,Gastrointestinal anthrax
Brucellosis,Brucellosis
Brucellosis due to Brucella abortus,Infection due to Brucella abortus
Brucellosis due to Brucella suis,Infection due to Brucella suis
Glanders,Glanders
Subacute and chronic melioidosis,Subacute and chronic melioidosis
" Melioidosis, unspecified ",Melioidosis
Erysipeloid,Erysipeloid
Leptospirosis,Leptospirosis
Other forms of leptospirosis,Leptospirosis
Cat-scratch disease,Cat scratch disease
Leprosy Hansen s disease ,Leprosy
Tuberculoid leprosy,Tuberculoid leprosy
Borderline lepromatous leprosy,Borderline lepromatous leprosy
Other forms of leprosy,Leprosy
Infection due to other mycobacteria,Mycobacteriosis
Pulmonary mycobacterial infection,Pulmonary disease due to Mycobacteria
Other mycobacterial infections,Mycobacteriosis
" Mycobacterial infection, unspecified ",Mycobacteriosis
Listeriosis,Listeriosis
Cutaneous listeriosis,Cutaneous listeriosis
Listerial meningitis and meningoencephalitis,Listeria meningitis
Listerial sepsis,Systemic inflammatory response syndrome
Other forms of listeriosis,Listeriosis
" Listeriosis, unspecified ",Listeriosis
Tetanus neonatorum,Tetanus neonatorum
Nasopharyngeal diphtheria,Nasopharyngeal diphtheria
Laryngeal diphtheria,Laryngeal diphtheria
Cutaneous diphtheria,Cutaneous diphtheria
Other diphtheria,Diphtheria
" Diphtheria, unspecified ",Diphtheria
Whooping cough,Pertussis
Whooping cough due to Bordetella para-pertussis,Infection due to Bordetella parapertussis
Whooping cough due to Bordetella species,Whooping cough due to organism other than Bordetella pertussis
" Whooping cough, unspecified ",Pertussis
Scarlet fever,Scarlet fever
Meningococcal infection,Meningococcal infectious disease
Meningococcal meningitis G01 ,Meningococcal meningitis
Acute meningococcaemia,Acute meningococcemia
Other meningococcal infections,Meningococcal infectious disease
" Sepsis due to streptococcus, group A ",Sepsis due to Streptococcus pyogenes
" Sepsis due to streptococcus, group B ",Sepsis due to Streptococcus agalactiae
Other streptococcal sepsis,Sepsis due to Streptococcus
" Streptococcal sepsis, unspecified ",Sepsis due to Streptococcus
Sepsis due to Staphylococcus aureus,Sepsis due to Staphylococcus aureus
Sepsis due to other specified staphylococcus,Sepsis due to Staphylococcus
Sepsis due to anaerobes,Sepsis due to anaerobic bacteria
Sepsis due to other Gram-negative organisms,Sepsis due to Gram negative bacteria
Sepsis due to Escherichia coli E.coli ,Sepsis due to Gram negative bacteria
Sepsis due to Vibrio,Sepsis due to Gram negative bacteria
Sepsis due to other Gram-negative organisms,Sepsis due to Gram negative bacteria
Sepsis due to unspecified Gram-negative organisms,Sepsis due to Gram negative bacteria
Other specified sepsis,Sepsis
Sepsis due to Enterococcus,Sepsis
Other specified sepsis,Sepsis
Abdominal actinomycosis,Abdominal actinomycosis
Other forms of actinomycosis,Actinomycotic infection
" Actinomycosis, unspecified ",Actinomycotic infection
Nocardiosis,Nocardiosis
Other forms of nocardiosis,Actinomycotic infection
" Nocardiosis, unspecified ",Nocardiosis
Systemic bartonellosis,Systemic bartonellosis
" Bartonellosis, unspecified ",Bartonellosis
" Other bacterial diseases, NEC ",Bacterial infectious disease
Legionnaires disease,Infection by Legionella pneumophilia
Toxic shock syndrome,Toxic shock syndrome
Bacterial infection of unspecified site,Bacterial infectious disease
" Staphylococcal infection, unspecified site ",Staphylococcal infectious disease
" Mycoplasma infection, unspecified site ",Mycoplasma infection
" Bacterial infection, unspecified ",Bacterial infectious disease
Congenital syphilis,Congenital syphilis
" Early congenital syphilis, symptomatic ",Early congenital syphilis with symptoms
" Early congenital syphilis, latent ",Early congenital syphilis - latent
" Early congenital syphilis, unspecified ",Early congenital syphilis
Late congenital syphilitic oculopathy,Late congenital syphilitic oculopathy
Primary genital syphilis,Primary genital syphilis
Other secondary syphilis,Secondary syphilis
Cardiovascular syphilis,Cardiovascular syphilis
Symptomatic neurosyphilis,Neurosyphilis
Other symptomatic late syphilis,Late syphilis
Other and unspecified syphilis,Syphilis
" Syphilis, unspecified ",Syphilis
Gonococcal infection,Gonorrhea
Gonococcal infection of lower genitourinary tract with periurethral and accessory gland abscess,Acute gonorrhea of lower genitourinary tract
Gonococcal pelviperitonitis and other gonococcal genitourinary infections,Acute gonorrhea of genitourinary tract
Other gonococcal infections,Gonorrhea
" Gonococcal infection, unspecified ",Gonorrhea
Chlamydial lymphogranuloma venereum ,Lymphogranuloma venereum
Other sexually transmitted chlamydial diseases,Genitourinary chlamydia infection
Chlamydial infection of lower genitourinary tract,Chlamydial infection of lower genitourinary tract
Chlamydial infection of pelviperitoneum and other genitourinary organs,Chlamydial infection
Sexually transmitted chlamydial infection of other sites,Chlamydia trachomatis infection
Herpesviral infection of genitalia and urogenital tract,Genital herpes simplex
Herpesviral vulvovaginitis,Genital herpes simplex
Herpesviral infection of other and unspecified urogenital tract,Genital herpes simplex
" Anogenital herpesviral infection, unspecified ",Anogenital herpesviral infection
" Other predominantly sexually transmitted diseases, NEC ",Sexually transmitted infectious disease
Trichomonal prostatitis N51.0 ,Urogenital infection by Trichomonas vaginalis
Other specified predominantly sexually transmitted diseases,Sexually transmitted infectious disease
Unspecified sexually transmitted disease,Sexually transmitted infectious disease
" Trichomoniasis, unspecified ",Infection by Trichomonas
Nonvenereal syphilis,Non-venereal endemic syphilis
Yaws,Yaws
Gangosa,Gangosa of yaws
Multiple papillomata and wet crab yaws,Multiple yaws papillomata
Hyperkeratosis of yaws,Hyperkeratosis of yaws
" Yaws, unspecified ",Yaws
Late lesions of pinta," Pinta, late lesion "
Primary lesions of pinta," Pinta, primary lesion "
Mixed lesions of pinta,Mixed cutaneous pinta lesion
Lyme disease,Lyme disease
" Pinta, unspecified ",Pinta
Relapsing fevers,Relapsing fever
Initial stage of trachoma," Trachoma, initial stage "
Tick-borne relapsing fever,Tick-borne relapsing fever
Active stage of trachoma," Trachoma, active stage "
" Relapsing fever, unspecified ",Relapsing fever
Other diseases caused by chlamydiae,Chlamydial infection
Chlamydial conjunctivitis H13.1 ,Inclusion conjunctivitis of the adult
Other chlamydial diseases,Chlamydial infection
" Chlamydial infection, unspecified ",Chlamydial infection
" Typhus fever, unspecified ",Typhus group rickettsial disease
Typhus fever,Typhus group rickettsial disease
Epidemic louse-borne typhus fever due to Rickettsia prowazekii,Louse-borne typhus
Typhus fever due to Rickettsia typhi,Murine typhus
Typhus fever due to Rickettsia tsutsugamushi,Scrub typhus
Spotted fever due to Rickettsia conorii,Boutonneuse fever
Other rickettsioses,Disease caused by rickettsiae
Trench fever,Trench fever
Spotted fever due to Rickettsia siberica,North Asian tick typhus
Rickettsialpox due to Rickettsia akari,Rickettsialpox
" Rickettsiosis, unspecified ",Disease caused by rickettsiae
Other spotted fevers,Spotted fevers
" Acute paralytic poliomyelitis, vaccine-associated "," Acute paralytic poliomyelitis, vaccine-associated "
" Spotted fever, unspecified ",Spotted fevers
" Acute paralytic poliomyelitis, wild virus, indigenous "," Acute paralytic poliomyelitis, wild virus, indigenous "
Rabies,Rabies
Progressive multifocal leukoencephalopathy,Progressive multifocal leukoencephalopathy
Mosquito-borne viral encephalitis,Viral encephalitis
" Atypical virus infection of central nervous system, unspecified ",Slow viral central nervous system infection
Western equine encephalitis,Western equine encephalitis
California encephalitis,California serogroup virus neuroinvasive disease
Eastern equine encephalitis,Eastern equine encephalitis virus neuroinvasive disease
Other mosquito-borne viral encephalitis,Viral encephalitis
" Mosquito-borne viral encephalitis, unspecified ",Viral encephalitis
" Tick-borne viral encephalitis, unspecified ",Viral encephalitis
Other tick-borne viral encephalitis,Viral encephalitis
Adenoviral encephalitis G05.1 ,Adenoviral encephalitis
Enteroviral exanthematous fever Boston exanthem ,Enteroviral exanthematous fever
Epidemic vertigo,Epidemic vertigo
Unspecified viral infection of central nervous system,Viral infection of central nervous system
Dengue fever classical dengue ,Dengue
DENGUE HAEMORRHAGIC FEVER,Dengue hemorrhagic fever
Enteroviral meningitis G02.0 ,Enterovirus meningitis
Venezuelan equine fever,Venezuelan equine encephalitis virus non-neuroinvasive disease
West Nile virus infection,Disease due to West Nile virus
" Other arthropod-borne viral fevers, NEC ",Viral disease
Rift valley fever,Rift valley fever
Other specified mosquito-borne viral fevers,Viral hemorrhagic fever
" Yellow fever, unspecified ",Yellow fever
ARENAVIRAL HAEMORRHAGIC FEVER,Arenaviral hemorrhagic fever
MACHUPO HAEMORRHAGIC FEVER,Bolivian hemorrhagic fever
Unspecified arthropod-borne viral fever,Arbovirus infection
Lassa fever,Lassa fever
Yellow fever,Yellow fever
Herpesviral vesicular dermatitis,Herpesviral vesicular dermatitis
Marburg virus disease,Marburg virus disease
Herpesviral gingivostomatitis and pharyngotonsillitis,Herpetic gingivostomatitis
Ebola virus disease,Ebola virus disease
Herpesviral ocular disease,Ophthalmic herpes simplex
Herpesviral iridocyclitis H22.0 ,Ophthalmic herpes simplex
OTHER SPECIFIED VIRAL HAEMORRHAGIC FEVERS,Viral hemorrhagic fever
Herpesviral keratitis H19.1 ,Ophthalmic herpes simplex
UNSPECIFIED VIRAL HAEMORRAGIC FEVER,Viral hemorrhagic fever
Herpesviral herpes simplex infections,Herpes simplex without complication
Herpesviral conjunctivitis,Ophthalmic herpes simplex
Other herpesviral disease of eye,Ophthalmic herpes simplex
Unspecifide herpesviral desease of eye,Ophthalmic herpes simplex
Disseminated herpesviral disease,Disseminated herpes simplex
Other herpesviral infection,Herpes simplex with complication
" Herpesviral infection, unspecified ",Herpes simplex without complication
Varicella chickenpox ,Varicella
Varicella meningitis G02.0 ,Herpes zoster with meningitis
Zoster ocular disease,Herpes zoster ophthalmicus
Disseminated zoster,Disseminated herpes zoster
Zoster with other complications,Herpes zoster with complication
Zoster without complication,Herpes zoster without complication
Smallpox,Smallpox
Measles,Measles
Measles with intestinal complications,Measles with intestinal complications
Rubella with neurological complications,Rubella with neurological complication
" Other viral infections characterized by skin and mucous membrane lesions, NEC ",Viral disease characterized by exanthem
Unspecified viral infection characterized by skin and mucous membrane lesions,Viral exanthem
Hepatitis A without hepatic coma,Viral hepatitis A without hepatic coma
Acute hepatitis B,Acute type B viral hepatitis
Acute hepatitis B with delta-agent coinfection without hepatic coma,Acute hepatitis B with delta-agent coinfection without hepatic coma
Acute hepatitis B without delta-agent and without hepatic coma,Viral hepatitis B without hepatic coma
Acute delta- super infection of hepatitis B carrier,Hepatitis D superinfection of hepatitis B carrier
Chronic viral hepatitis,Chronic viral hepatitis
Chronic viral hepatitis B with delta-agent,Chronic viral hepatitis B with hepatitis D
Chronic viral hepatitis B without delta-agent,Chronic viral hepatitis B without delta-agent
Chronic viral hepatitis C,Chronic hepatitis C
Unspecified viral hepatitis without hepatic coma,Viral hepatitis without hepatic coma
Human immunodeficiency virus HIV disease resulting in infectious and parasitic diseases,Human immunodeficiency virus infection
HIV disease resulting in other bacterial infections,Infectious disease associated with acquired immune deficiency syndrome
HIV disease resulting in other mycoses,Infectious disease associated with acquired immune deficiency syndrome
HIV disease resulting in Kaposi s sarcoma,Kaposi s sarcoma associated with AIDS
HIV disease resulting in other types of non-Hodgkin lymphoma,Non-Hodgkin lymphoma associated with Human immunodeficiency virus infection
" HIV disease resulting in other malignant neoplasms of lymphoid, hematopoietic and related tissue ",Human immunodeficiency virus infection
Human immunodeficiency virus HIV disease resulting in other specified diseases,Human immunodeficiency virus infection
HIV disease resulting in multiple diseases classified elsewhere,Human immunodeficiency virus infection
HIV disease resulting in other specified conditions,AIDS-associated disorder
Unsecified human immunodeficiency virus HIV disease,Human immunodeficiency virus infection
Cytomegaloviral pneumonitis J17.1 ,Cytomegaloviral pneumonia
Cytomegaloviral hepatitis K77.0 ,Cytomegalovirus hepatitis
Cytomegaloviral pancreatitis K87.1 ,Cytomegaloviral pancreatitis
" Cytomegaloviral diseases, unspecified ",Cytomegalovirus infection
Mumps,Mumps
Mumps orchitis N51.1 ,Mumps orchitis
Mumps pancreatitis K87.1 ,Mumps pancreatitis
Mumps with other complication,Mumps
Infectious mononucleosis,Infectious mononucleosis
Cytomegaloviral mononucleosis,Cytomegaloviral mononucleosis
Other infectious mononucleosis,Infectious mononucleosis
" Infectious mononucleosis, unspecified ",Infectious mononucleosis
Viral pharyngoconjunctivitis,Viral pharyngoconjunctivitis
Epidemic myalgia,Epidemic pleurodynia
Viral carditis,Viral carditis
Rhinocerebral mucormycosis,Rhinocerebral mucormycosis
Cutaneous mucormycosis,Cutaneous mucormycosis
Disseminated mucormycosis,Disseminated mucormycosis
Other specified viral diseases,Specific viral infections
Viral infection of unspecified site,Viral disease
" Adenovirus infection, unspecified site ",Disease due to Adenovirus
" Parvovirus infection, unspecified site ",Parvovirus infection
" Papovavirus infection, unspecified site ",Specific viral infections
" Viral infection, unspecified ",Viral disease
Tinea unguium,Onychomycosis due to dermatophyte
Tinea manuum,Tinea manus
Tinea pedis,Tinea pedis
Tinea cruris,Tinea cruris
Tinea nigra,Tinea nigra
Black piedra,Black piedra
Other specified superficial mycoses,Dermal mycosis
" Superficial mycosis, unspecified ",Superficial mycosis
Pulmonary candidiasis,Candidiasis of lung
Candidiasis of vulva and vagina N77.1 ,Candidal vulvovaginitis
Candidal cystitis and urethritis N37.0 ,Candidiasis of urogenital site
Candidal balanitis N51.2 ,Candidiasis of urogenital site
Candidal meningitis G02.1 ,Candidal meningitis
Candidal endocarditis I39.8 ,Candidal endocarditis
Candidal sepsis,Sepsis due to Candida
Candidiasis of other sites,Candidiasis
Candidal cheilitis,Candidiasis
Candidal otitis externa,Candidiasis
" Candidiasis,unspecified ",Candidiasis
" Pulmonary coccidioidomycosis, unspecified ",Pulmonary coccidioidomycosis
Disseminated coccidioidomycosis,Disseminated coccidioidomycosis
Other forms of coccidioidomycosis,Coccidioidomycosis
Histoplasmosis,Histoplasmosis
Acute pulmonary histoplasmosis capsulati,Acute pulmonary histoplasmosis
Histoplasmosis duboisii,African histoplasmosis
Blastomycosis,Blastomycosis
" Pulmonary blastomycosis, unspecified ",Pulmonary blastomycosis
Disseminated blastomycosis,Disseminated blastomycosis
Other forms of blastomycosis,Blastomycosis
" Blastomycosis, unspecified ",Blastomycosis
Pulmonary paracoccidioidomycosis,Pulmonary paracoccidioidomycosis
Pulmonary sporotrichosis J99.8 ,Pulmonary sporotrichosis
" Sporotrichosis, unspecified ",Sporotrichosis
Chromomycosis and pheomycotic abscess,Chromoblastomycosis
Subcutaneous pheomycotic abscess and cyst,Subcutaneous pheohyphomycotic abscess and cyst
Other forms of chromomycosis,Chromoblastomycosis
" Chromomycosis, unspecified ",Chromoblastomycosis
Aspergillosis,Aspergillosis
Other pulmonary aspergillosis,Aspergillosis
Disseminated aspergillosis,Disseminated aspergillosis
Cryptococcosis,Cryptococcosis
Pulmonary cryptococcosis,Pulmonary cryptococcosis
Zoster herpes zoster ,Herpes zoster without complication
Zoster encephalitis G05.1 ,Herpes zoster encephalitis
Actinomycetoma,Actinomycotic mycetoma
" Mycetoma, unspecified ",Mycetoma
" Other mycoses, NEC ",Mycosis
Lobomycosis,Lobomycosis
Allescheriasis,Allescheriosis
Geotrichosis,Geotrichosis
Opportunisitic mycoses,Opportunistic mycosis
Other specified mycoses,Opportunistic mycosis
Unspecified mycosis,Mycosis
Plasmodium falciparum malaria,Falciparum malaria
Plasmodium vivax malaria,Vivax malaria
Plasmodium vivax malaria with other complications,Vivax malaria
Plasmodium malariae malaria with nephropathy,Plasmodium malariae malaria with nephropathy
Plasmodium malariae malaria with other complications,Quartan malaria
Plasmodium malariae malaria without complication,Quartan malaria
Other parasitologically confirmed malaria,Malaria
Plasmodium ovale malaria,Ovale malaria
Malaria due to simian plasmodia,Malaria due to simian plasmodia
" Other parasitologically confirmed malaria, NEC ",Malaria
Unspecified malaria,Malaria
Visceral leishmaniasis,Visceral leishmaniasis
Mucocutaneous leishmaniasis,Infection by Leishmania braziliensis
" Leishmaniasis, unspecified ",Leishmaniasis
Gambiense Trypanosomiasis,Infection by Trypanosoma gambiense
Rhodesiense Trypanosomiasis,Infection by Trypanosoma rhodesiense
" African Trypanosomiasis, unspecified ",Trypanosomiasis
" Acute Chagas disease with heart involvement I41.2 , I98.1 ",Acute Chagas disease with heart involvement
Acute Chagas disease without heart involvement,Acute Chagas disease
Chagas disease chronic with heart involvement,Chagas disease with heart involvement
Toxoplasma oculopathy,Conjunctivitis due to acquired toxoplasmosis
Toxoplasma with other organ involvement,Toxoplasmosis
" Toxoplasmosis, unspecified ",Toxoplasmosis
Pneumocystosis J17.3 ,Pneumocystosis
" Other protozoal diseases, NEC ",Protozoan infection
Babesiosis,Babesiosis
Naegleriasis,Infection by Naegleria
Unspecified protozoal disease,Protozoan infection
Schistosomiasis bilharziasis ,Infection by Schistosoma
Schistosomiasis due to Schistosoma mansoni intestinal schistosomiasis ,Schistosoma mansoni infection
Cercarial dermatitis,Cutaneous schistosomiasis
Other schistosomiases,Infection by Schistosoma
" Schistosomiasis, unspecified ",Infection by Schistosoma
Other fluke infections,Trematode infection
Clonorchiasis,Clonorchiasis
Dicrocoeliasis,Dicrocoeliasis
Paragonimiasis,Infection by Paragonimus
Other specified fluke infections,Trematode infection
Echinococcus granulosus infection of liver,Echinococcus granulosus infection of liver
Echinococcus granulosus infection of bone,Echinococcus granulosus infection of bone
" Echinococcus granulosus infection, other and multiple sites ",Echinococcus granulosus infection
" Echinococcus multilocularis infection, other and multiple sites ",Echinococcus multilocularis infection
" Echinococcus multilocularis infection, unspecified ",Echinococcus multilocularis infection
Taenia solium taeniasis,Taenia solium infection
Cysticercosis,Cysticercosis
Cysticercosis of eye,Cysticercosis of eye
Cysticercosis of other sites,Cysticercosis
" Cysticercosis, unspecified ",Cysticercosis
Other cestode infections,Cestode infection
Hymenolepiasis,Hymenolepiasis
Other specified cestode infections,Cestode infection
" Cestode infections, unspecified ",Cestode infection
Dracunculiasis,Infection by Dracunculus medinensis
Onchocerciasis,Infection by Onchocerca volvulus
Filariasis due to Brugia timori,Filariasis due to Brugia timori
Mansonelliasis,Mansonelliasis
" Filariasis, unspecified ",Disease due to superfamily Filarioidea
Trichinellosis,Infection by larvae of Trichinella spiralis
Other hookworm diseases,Disease due to superfamily Ancylostomatoidea
Ascariasis,Ascariasis
Strongyloidiasis,Infection by Strongyloides
Intestinal strongyloidiasis,Intestinal strongyloidiasis
Cutaneous strongyloidiasis,Cutaneous strongyloidiasis
" Strongyloidiasis, unspecified ",Infection by Strongyloides
Enterobiasis,Enterobiasis
" Other intestinal helminthiases, NEC ",Helminth infection
Anisakiasis,Infection by Anisakidae
Intestinal capillariasis,Capillaria philippinensis infection
Unspecified intestinal parasitism,Intestinal parasitism
" Intestinal helminthiasis, unspecified ",Intestinal helminthiasis
Other helminthiases,Helminth infection
Visceral larva migrans,Visceral larva migrans syndrome
Syngamiasis,Infection by Syngamus
Other specified helminthiases,Helminth infection
" Zygomycosis, unspecified ",Zygomycosis
" HELMINTHIASIS, UNSPECIFIED ",Helminth infection
Pediculosis and phthiriasis,Pediculosis and phthirus infections
Phthiriasis,Infestation by Phthirus
Mixed pediculosis and phthiriasis,Mixed pediculosis
Pediculosis due to pediculus humanus corporis,Pediculosis corporis
Scabies,Infestation by Sarcoptes
Myiasis,Infestation by fly larvae
Cutaneous myiasis,Cutaneous myiasis
Wound myiasis,Wound myiasis
" Myiasis, unspecified ",Infestation by fly larvae
Other infestations,Infestation by insect
Myiasis of other sites,Infestation by fly larvae
Sequelae of central nervous system tuberculosis,Late effects of central nervous system tuberculosis
Sequelae of genitourinary tuberculosis,Late effects of genitourinary system tuberculosis
Sequelae of respiratory and unspecified tuberculosis,Late effects of respiratory tuberculosis
Sequelae of leprosy,Sequelae of leprosy
External hirudiniasis,Leech infestation
Other specified infestations,Infestation by insect
Streptococcus and staphylococcus as the cause of diseases classified to other chapters,Disease due to Gram-positive coccus
Other streptococcus as the cause of diseases classified to other chapters,Streptococcal infectious disease
Other specified bacterial agents as the cause of diseases classified to other chapters,Bacterial infectious disease
Unspecified streptococcus as the cause of diseases classified to other chapters,Streptococcal infectious disease
Bacillus fragilis B.fragilis as the cause of diseases classified to other chapters,Bacterial infection due to Bacillus
Mycoplasma pneumoniae M.pneumoniae as the cause of diseases classified to other chapters,Infection due to Mycoplasma pneumoniae
Other specified bacterial agents as the cause of diseases classified to other chapters,Bacterial infectious disease
Klebsiella pneumoniae K.pneumoniae as the cause of diseases classified to other chapters,Bacterial infection due to Klebsiella pneumoniae
Viral agents as the cause of diseases classified to other chapters,Viral infection by site
Enterovirus as the cause of diseases classified to other chapters,Specific viral infections
Retrovirus as the cause of diseases classified to other chapters,Disease due to Retroviridae
Reovirus as the cause of diseases classified to other chapters,Specific viral infections
Papillomavirus as the cause of diseases classified to other chapters,Human papilloma virus infection
MALIGNANT NEOPLASM OF EXTERNAL UPPER LIP,Malignant tumor of vermilion border of upper lip
Other sprcified infectious agents as the cause of disease classified to other chapters,Disorder due to infection
Helicobacter pylori H.pylori as the cause of disease classified to other chapters,Helicobacter pylori gastrointestinal tract infection
Vibrio vulnificus as the cause of disease classified to other chapters,Vibrio vulnificus infection
Malignant neoplasm of external lip unspecified,Primary malignant neoplasm of vermilion border of lip
Malignant neoplasm of lip,Malignant tumor of lip
" Malignant neoplasm of upper lip, inner aspect ",Malignant tumor of upper labial mucosa
Malignant neoplasm of dorsal surface of tongue,Primary malignant neoplasm of dorsal surface of tongue
Malignant neoplasm of ventral surface of tongue,Primary malignant neoplasm of ventral surface of tongue
" Malignant neoplasm of anterior two-thirds of tongue, part unspecified ",Malignant tumor of anterior two-thirds of tongue
MALIGNANT NEOPLASM OF OVERLAPPING LESION OF TONGUE,Overlapping malignant neoplasm of tongue
" Malignant neoplasm of lip, unspecified ",Malignant tumor of lip
Malignant neoplasm of gum,Malignant tumor of gum
" Malignant neoplasm of gum, unspecified ",Malignant tumor of gum
Malignant neoplasm of floor of mouth,Malignant tumor of floor of mouth
Malignant neoplasm of anterior floor of mouth,Malignant tumor of anterior floor of mouth
Malignant neoplasm of soft palate,Malignant tumor of soft palate
Malignant neoplasm of lateral floor of mouth,Malignant tumor of lateral floor of mouth
Malignant neoplasm of overlapping lesion of floor of mouth,Overlapping malignant neoplasm of floor of mouth
Malignant neoplasm of uvula,Malignant tumor of uvula
Malignant neoplasm of overlapping lesion of other and unspecified parts of mouth,Malignant tumor of oral cavity
" Malignant neoplasm of mouth, unspecified ",Malignant tumor of oral cavity
Malignant neoplasm of parotid gland,Malignant tumor of parotid gland
Malignant neoplasm of other and unspecified major salivary glands,Malignant tumor of major salivary gland
Malignant neoplasm of cheek mucosa,Malignant tumor of buccal mucosa
